temperature,max_tokens,top_k,top_p,runtime,cognitive_complexity,cyclomatic_complexity,code_generation_attempts,bug_insertion_attempts,similarity_score
0.01,100,1,0.01,136,56.737908825918744,3.75,0.75,0.0,1.4560236599651497
0.01,100,1,0.02,387,56.45693082111278,3.5,1.75,0.0,1.6629703481179627
0.01,100,1,0.03,214,55.96213020078236,4.25,0.75,0.0,1.5009144394871081
0.01,100,1,0.04,201,56.00403246790774,3.5,0.5,0.0,1.6657103597804648
0.01,100,1,0.05,234,56.25258389651709,4.25,1.0,0.0,1.636358269968156
0.01,100,1,0.06,264,55.87558569545158,4.75,1.25,0.0,2.0811123628480797
0.01,100,1,0.07,207,55.706267267785464,5.0,0.75,0.0,2.012206697784589
0.01,100,1,0.08,169,56.713573682396024,3.25,0.25,0.0,1.2784342761566965
0.01,100,1,0.09,226,56.42264255620961,3.5,0.75,0.0,1.4386916994833185
0.01,100,1,0.10,219,62.001506407302124,3.5,0.75,0.0,1.4798358097479356
0.01,100,2,0.10,226,56.633403801761546,3.5,0.75,0.0,1.4623288435463253
0.01,100,3,0.10,269,55.50801319439978,4.25,1.25,0.0,1.7695885123078805
0.01,100,4,0.10,247,64.49860341154343,4.0,1.0,0.0,1.4895294551340823
0.01,100,5,0.10,145,55.341143239815736,4.5,0.0,0.0,1.8920692790466789
0.01,100,6,0.10,158,60.52763463613647,3.5,0.25,0.0,1.6941867341370633
0.01,100,7,0.10,137,56.423657679622046,4.0,0.0,0.0,1.5771211875845887
0.01,100,8,0.10,328,56.45693082111278,3.5,1.75,0.0,1.6629703481179627
0.01,100,9,0.10,220,55.5141745673724,5.0,0.75,0.0,2.342858637899866
0.01,100,10,0.10,127,57.934433446926505,3.25,0.0,0.0,1.5027697685608614
0.01,200,10,0.10,202,55.55988229018072,5.0,0.75,0.0,2.406967954391621
0.01,300,10,0.10,268,60.95701974018638,4.25,1.25,0.0,1.9600325627386797
0.01,400,10,0.10,212,56.737908825918744,3.75,0.75,0.0,1.4560236599651497
0.01,500,10,0.10,325,56.83644780348551,2.75,1.75,0.0,1.3376810498930845
0.01,600,10,0.10,287,55.20107245266779,4.5,1.25,0.0,1.8473347606040764
0.01,700,10,0.10,301,55.545552915214465,4.25,1.5,0.0,1.599666834698829
0.01,800,10,0.10,233,55.76669509405087,5.0,1.0,0.0,2.1425266849475255
0.01,900,10,0.10,215,56.08289140618286,3.0,0.75,0.0,1.698676250322482
0.01,1000,10,0.10,264,55.33540459271681,5.0,1.25,0.0,2.4595262691950257
0.016,100,10,0.10,239,55.49292209409926,4.75,1.0,0.0,2.0769563386195737
0.016,200,10,0.10,232,55.7726117537681,3.5,1.0,0.0,1.6063961441087369
0.016,300,10,0.10,120,56.37707701928565,5.0,0.0,0.0,2.0585336259009535
0.016,400,10,0.10,333,55.55988229018072,5.0,1.75,0.0,2.2380595103227656
0.016,500,10,0.10,129,55.444165004717874,4.0,0.0,0.0,1.671272333661115
0.016,600,10,0.10,241,56.090464595496954,4.75,1.0,0.0,2.3159924896796165
0.016,700,10,0.10,292,55.50133158295728,5.0,1.5,0.0,2.269014484521443
0.016,800,10,0.10,147,56.42272259564535,4.75,0.25,0.0,1.876352653965345
0.016,900,10,0.10,243,56.91532014668823,4.0,1.0,0.0,1.3920226440730965
0.016,1000,10,0.10,130,54.9085396660162,3.75,0.0,0.0,1.550083716044401
0.0256,100,10,0.10,170,55.381383008532346,3.5,0.25,0.0,1.4044764542039125
0.0256,200,10,0.10,154,56.45739871392772,4.5,0.25,0.0,1.5350935657753615
0.0256,300,10,0.10,267,54.200609025345166,4.25,1.25,0.0,1.402925573730349
0.0256,400,10,0.10,241,55.66265331845648,4.75,1.0,0.0,1.4443062996351088
0.0256,500,10,0.10,260,55.75836271971839,3.75,1.25,0.0,1.2338503992430763
0.0256,600,10,0.10,173,60.22565150234314,2.75,0.5,0.0,1.1834592431423774
0.0256,700,10,0.10,189,56.74720550005102,3.25,0.5,0.0,1.7001664516227402
0.0256,800,10,0.10,146,55.642592629393356,3.25,0.0,0.0,1.288650478949866
0.0256,900,10,0.10,143,55.642592629393356,3.25,0.0,0.0,1.288650478949866
0.0256,1000,10,0.10,248,55.642592629393356,3.25,0.0,0.0,1.288650478949866
0.04096,100,10,0.10,180,55.36897922078715,4.25,0.5,0.0,1.688164922529805
0.04096,200,10,0.10,251,63.135082735294304,3.25,1.0,0.0,1.455571453416281
0.04096,300,10,0.10,220,57.94382269660445,4.25,1.0,0.0,1.871078990726357
